Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
apt-get,56.99609375,56.99609375,48.87890625,1,5.0
dbus-daemon,207.953125,207.953125,202.21875,3738,22562.0
discern-ansible,1205.34375,1205.34375,12.0703125,1,5.0
discern-cpu-sor,1205.359375,1205.359375,11.765625,1,5.0
discern-file-so,1561.1938824093638,1719.8125,416.25390625,3694,22480.0
discern-jupyter,1205.33203125,1205.33203125,11.06640625,1,5.0
discern-logs-so,1531.6279908992285,1717.7109375,420.97265625,3163,18666.0
discern-network,1817.62890625,1817.62890625,70.1171875,3738,22779.0
discern-proc-so,1205.963864340379,1206.17578125,17.99609375,254,1372.0
python3,658.5127143415228,992.5703125,42.7421875,3670,22478.0
systemd-journal,120.58542332026197,161.2265625,23.41015625,425,3092.0
