Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
apt,98.96875,155.3203125,89.50390625,1,5.0
apt-get,64.69921875,155.3671875,67.171875,5,23.0
apt-listchanges,29.55859375,30.44921875,19.421875,1,1.0
discern-ansible,1205.34375,1205.34375,11.609375,7,37.0
discern-file-so,1521.9389251148293,1527.36328125,366.734375,75,381.0
discern-logs-so,1205.4296875,1205.4296875,16.16796875,61,317.0
discern-network,1881.4132000811687,1889.265625,109.640625,75,385.0
discern-proc-so,1205.92578125,1205.92578125,16.44140625,41,209.0
dpkg,21.31534090909091,21.44140625,17.71875,2,11.0
pip3,111.54646381578948,295.19140625,287.3515625,7,38.0
py3clean,20.49609375,22.2890625,16.05078125,1,6.0
python3,564.9260220462329,616.69140625,238.83984375,57,292.0
python3.9,24.375,25.98828125,19.2109375,1,5.0
systemd-journal,61.97063577586207,65.28125,24.68359375,40,203.0
systemd-resolve,23.53515625,23.59765625,11.7890625,1,4.0
