# Overall Packet Count: 3416
# Overall Total Bytes: 829526
# Overall Average Packet Size (Bytes): 242.84
# Overall Capture Duration (Seconds): 791.000
# Overall Average Rate (Mbps): 0.008

IP_A,IP_B,TotalPackets,TotalBytes,TotalActiveSeconds,AvgRateMbps,PeakRateMbps
10.10.10.1,10.10.10.4,2861,644655,43,0.11993581395348837,1.984976
172.30.0.15,192.168.254.2,303,161308,8,0.161308,0.81168
172.30.0.1,172.30.0.15,131,12329,18,0.005479555555555555,0.029792
172.30.0.15,34.117.59.81,16,2806,1,0.022448,0.022448
104.26.13.205,172.30.0.15,18,2314,1,0.018512,0.018512
162.159.200.123,172.30.0.15,8,728,2,0.002912,0.002912
172.30.0.1,172.30.0.14,6,348,5,0.0005568,0.000928
172.30.0.1,172.30.0.12,5,290,4,0.00058,0.000928
fe80::903e:caff:fe91:3b97,ff02::2,4,284,2,0.001136,0.001136
fe80::e06d:a1ff:fedd:4e19,ff02::2,4,284,2,0.001136,0.001136
fe80::c89e:feff:fef0:f17,ff02::2,4,284,2,0.001136,0.001136
fe80::c87a:20ff:feea:ff87,ff02::2,4,284,2,0.001136,0.001136
fe80::c860:a4ff:fe7f:a8a1,ff02::2,4,284,2,0.001136,0.001136
fe80::c43a:fff:fe47:3dff,ff02::2,4,284,2,0.001136,0.001136
fe80::a887:edff:febc:55fd,ff02::2,4,284,2,0.001136,0.001136
fe80::a4f9:89ff:fe94:5d6c,ff02::2,4,284,2,0.001136,0.001136
fe80::644c:b7ff:fee9:f37b,ff02::2,4,284,2,0.001136,0.001136
fe80::7c54:2cff:fe28:c22f,ff02::2,4,284,2,0.001136,0.001136
fe80::5477:20ff:fec7:8a8d,ff02::2,4,284,2,0.001136,0.001136
fe80::445c:9ff:fedc:69fc,ff02::2,4,284,2,0.001136,0.001136
fe80::2cdd:4cff:fe4f:20ab,ff02::2,4,284,2,0.001136,0.001136
fe80::e0aa:fbff:fe44:1451,ff02::2,4,284,2,0.001136,0.001136
172.30.0.1,172.30.0.13,3,174,2,0.000696,0.000928
172.30.0.1,172.30.0.11,3,174,2,0.000696,0.000928
fe80::7886:94ff:fe2f:4992,ff02::2,2,142,1,0.001136,0.001136
fe80::c807:a0ff:fe44:1e2b,ff02::2,2,142,1,0.001136,0.001136
fe80::1cbf:c7ff:fe3a:c974,ff02::2,1,70,1,0.00056,0.00056
fe80::dca0:ff:fed2:1ed3,ff02::2,1,70,1,0.00056,0.00056
