Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
dbus-daemon,27.21864720394737,27.65625,21.55078125,16,76.0
discern-file-so,1527.61328125,1527.61328125,300.76171875,16,68.0
discern-logs-so,1205.4296875,1205.4296875,18.83984375,12,55.0
discern-network,1898.2109375,1898.2109375,94.21875,16,76.0
discern-proc-so,1205.92578125,1205.92578125,16.296875,2,10.0
python3,682.9759324596774,976.56640625,51.1015625,6,31.0
systemd-journal,65.26953125,65.26953125,19.1875,12,56.0
