Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
dbus-daemon,30.703264508928573,31.140625,25.921875,12,56.0
discern-file-so,1414.202427455357,1462.609375,246.49609375,12,56.0
discern-network,1897.9609375,1897.9609375,104.45703125,12,56.0
discern-proc-so,1205.92578125,1205.92578125,16.12109375,8,34.0
python3,101.65647977941177,232.35546875,18.43359375,3,17.0
server.py,171.75390625,235.75390625,20.09765625,4,22.0
systemd-journal,59.596254006410255,65.33984375,19.01953125,9,39.0
