Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
dbus-daemon,25.549776785714286,25.984375,19.8828125,14,70.0
discern-file-so,1527.966015625,1655.49609375,301.37890625,14,70.0
discern-logs-so,1205.4296875,1205.4296875,21.5078125,11,55.0
discern-network,1825.07421875,1863.1875,38.58203125,14,70.0
ettercap,236.70853365384616,264.40234375,24.69140625,5,26.0
systemd-journal,83.41015625,83.41015625,31.140625,12,59.0
