Name,Duration,AvgCpuPercent,MaxCpuUsage,DataPoints
python3,516.0,154.0893509822564,180.09369233774865,99
discern-file-so,656.0,49.336508949382115,71.96263746240592,127
dockerd,634.0,10.359972695534317,29.56383222858161,122
discern-proc-so,658.0,6.45443002998549,17.242809826510804,126
discern-network,600.0,3.7060561860461787,6.0069916628924895,115
pip,22.0,86.48545328340325,92.34263390413423,4
exe,22.0,32.27366001351171,48.787654290795906,4
pip3,11.0,59.520456304893585,78.14944000020816,2
dpkg,26.0,21.381307986846107,36.81864746085121,5
dpkg-deb,6.0,81.15351809719992,81.15351809719992,1
apt-get,25.0,17.618717999542664,52.86996908143061,5
cc1,5.0,85.63652685274809,85.63652685274809,1
python,6.0,28.978341616454205,28.978341616454205,1
apt,11.0,12.006741111953604,20.390882785413247,2
jbd2/vda2-8,47.0,2.0104304200326535,2.8852128113626025,10
mandb,10.0,5.7405513149512855,6.367268069894869,2
containerd,10.0,3.258359199326457,4.601893869188165,2
docker,5.0,4.308398728655792,4.308398728655792,1
runc,5.0,3.440151452117255,3.440151452117255,1
systemd,12.0,1.390387512894244,1.4692256531681307,2
