Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
apt,64.58203125,155.25390625,67.30078125,3,16.0
apt-get,62.22866586538461,155.34375,67.4609375,5,26.0
cc1,231.6640625,231.6640625,216.8359375,1,9.0
containerd,1377.8752508600917,1377.88671875,44.81640625,22,109.0
discern-file-so,1720.1916346153846,1720.3125,478.43359375,126,650.0
discern-jupyter,1204.95703125,1204.95703125,12.1015625,1,6.0
discern-logs-so,1205.9296875,1205.9296875,15.7265625,3,16.0
discern-network,2347.2799806220564,2361.90625,176.47265625,125,637.0
discern-proc-so,1206.42578125,1206.42578125,18.44140625,6,32.0
docker,1298.8293819616338,1381.87890625,56.07421875,116,606.0
dockerd,1555.1254514446227,1631.1875,116.6796875,121,623.0
dpkg,21.411576704545453,21.46484375,17.82421875,2,11.0
exe,1288.0340401785713,1349.95703125,89.7421875,5,28.0
pip,74.38783482142857,97.96875,93.2578125,4,21.0
pip3,62.265625,67.53125,63.0078125,2,14.0
python3,3179.568455430328,3440.15625,1294.73046875,85,427.0
systemd-journal,57.34765625,57.34765625,20.3125,3,11.0
