Name,Duration,AvgCpuPercent,MaxCpuUsage,DataPoints
python3,293.000,92.983,95.448,57
discern-file-so,183.000,74.047,88.174,36
discern-proc-so,1109.000,2.453,3.424,216
pip3,26.000,69.877,75.349,5
jbd2/vda2-8,1109.000,1.435,2.699,216
systemd,1117.000,0.502,2.039,217
kswapd0,817.000,0.408,0.700,159
discern-network,621.000,0.368,0.512,120
apt-get,33.000,4.859,11.457,6
dpkg,16.000,8.683,10.820,3
apt,5.000,16.450,16.450,1
discern-logs-so,145.000,0.323,0.335,29
kworker/u2,51.000,0.726,1.453,10
apt-listchanges,6.000,3.708,3.708,1
mandb,6.000,2.837,2.837,1
py3compile,5.000,1.407,1.407,1
sshd,11.000,0.491,0.505,2
OverallSystemRecord,938.000,36.003,99.399,183
