Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
apt,64.66015625,155.328125,67.27734375,1,5.0
apt-get,64.703125,155.375,67.578125,5,27.0
apt-listchanges,29.55859375,30.44921875,19.4296875,1,5.0
dbus-daemon,20.113841955741627,21.3359375,15.22265625,41,209.0
discern-file-so,1486.342006888441,1527.11328125,337.078125,35,186.0
discern-interfa,1507.26953125,1571.26953125,22.5,188,968.0
discern-logs-so,1205.4296875,1205.4296875,29.19921875,209,1069.0
discern-network,1865.9052429759174,1889.578125,98.45703125,216,1090.0
discern-proc-so,1206.0957143283938,1206.17578125,19.15234375,203,1046.0
dpkg,21.27197265625,21.47265625,17.70703125,3,16.0
pip3,135.93629807692307,294.9609375,287.03125,5,26.0
python3,587.2339666811847,856.2265625,476.484375,57,287.0
systemd-journal,81.87770381590136,109.44921875,28.21875,116,588.0
