Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
apt,64.58203125,155.25390625,67.2421875,2,11.0
apt-get,62.23016826923077,155.34375,69.1484375,5,26.0
cc1,183.11328125,183.11328125,165.71484375,1,5.0
containerd,1449.8817806603774,1449.890625,45.73828125,20,106.0
discern-cpu-sor,1204.984375,1204.984375,14.25,3,12.0
discern-file-so,1592.2459783242614,1592.4921875,436.1484375,125,643.0
discern-logs-so,1205.9296875,1205.9296875,15.453125,4,17.0
discern-network,2352.1470137266356,2426.15625,175.60546875,123,642.0
discern-proc-so,1206.42578125,1206.42578125,20.06640625,7,33.0
docker,1299.930809161102,1318.44140625,56.1640625,114,599.0
dockerd,1563.5768419715448,1630.375,120.60546875,119,615.0
dpkg,21.503196022727273,21.65234375,18.046875,2,11.0
exe,1295.7666015625,1349.70703125,88.15234375,4,20.0
pip,73.880615234375,98.125,93.81640625,4,16.0
pip3,61.59872159090909,67.53125,62.9375,2,11.0
python3,3169.991683752828,3468.9140625,1315.78125,85,442.0
systemd-journal,55.40234375,55.40234375,20.34765625,2,10.0
