IP_A,IP_B,TotalPackets,TotalBytes,TotalActiveSeconds,AvgRateMbps,PeakRateMbps
192.168.254.2,192.168.254.2,189,51046,6,0.06806133333333333,0.09824
172.30.0.12,172.30.0.12,188,50380,9,0.04478222222222222,0.089936
10.1.2.3,10.1.2.3,181,35994,13,0.022150153846153847,0.1014
10.1.2.2,10.1.2.2,204,19297,14,0.011026857142857142,0.048432
172.30.0.1,172.30.0.1,21,2394,5,0.0038304,0.006456
fe80::1802:9fff:febc:3e91,fe80::1802:9fff:febc:3e91,2,142,2,0.000568,0.000576
fe80::1840:3eff:fe22:a997,fe80::1840:3eff:fe22:a997,2,142,1,0.001136,0.001136
fe80::1cbb:97ff:fe0d:9d9b,fe80::1cbb:97ff:fe0d:9d9b,2,142,1,0.001136,0.001136
fe80::e086:deff:fefb:c9ea,fe80::e086:deff:fefb:c9ea,2,142,1,0.001136,0.001136
fe80::e8c3:cff:fe43:e23c,fe80::e8c3:cff:fe43:e23c,2,142,1,0.001136,0.001136
