Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
discern-file-so,1443.536909054487,1526.67578125,322.890625,21,78.0
discern-logs-so,1205.4296875,1205.4296875,14.66796875,9,38.0
discern-network,1898.4609375,1898.4609375,113.52734375,21,78.0
discern-proc-so,1205.92578125,1205.92578125,16.66015625,9,38.0
python3,131.65655048076923,232.35546875,17.16015625,24,130.0
server.py,174.2890625,238.2890625,23.26171875,12,53.0
systemd-journal,44.43287417763158,49.27734375,11.6953125,9,38.0
