Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
dbus-daemon,65.15698852894124,73.80859375,67.21484375,342,1719.0
discern-file-so,1477.601315553161,1591.1171875,282.84765625,33,174.0
discern-interfa,1507.51953125,1571.51953125,22.61328125,329,1715.0
discern-logs-so,1384.8308156120331,1397.62890625,213.84375,342,1687.0
discern-network,1833.58203125,1833.58203125,47.69140625,342,1739.0
discern-proc-so,1205.92578125,1205.92578125,15.81640625,170,880.0
systemd-journal,128.6923350809115,173.31640625,62.89453125,152,757.0
