Name,Duration,AvgCpuPercent,MaxCpuUsage,DataPoints
server.py,22279.0,58.70474820406478,60.14781192987938,4169
discern-file-so,22591.0,33.90013418537279,82.04677099414428,4207
discern-logs-so,18500.0,5.878852213189851,34.907484478012684,3442
discern-proc-so,22701.0,2.735737752012667,18.219954949248294,4195
kswapd0,20826.0,1.0288788677607061,1.229041264134758,3865
kworker/0,4599.0,1.3094893778733554,6.55636441690478,823
sshd,651.0,3.0485361754624503,10.973275053483222,117
discern-network,1161.0,0.5249204168701673,0.6648488516036378,213
bash,11.0,5.223498617975889,7.692669566323511,2
python3,10.0,2.5186034405733495,2.521196801381317,2
systemd,5.0,2.4396221512236336,2.4396221512236336,1
