Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
dbus-daemon,211.1640625,211.1640625,203.92578125,4189,22621.0
discern-cpu-sor,1205.359375,1205.359375,11.50390625,1,6.0
discern-file-so,1578.9967017918325,1719.8125,403.03515625,4171,22620.0
discern-jupyter,1205.33203125,1205.33203125,11.0859375,1,6.0
discern-logs-so,1558.236100806179,1845.84375,410.65234375,3443,18490.0
discern-network,1833.828125,1863.1875,65.33984375,4189,22766.0
discern-proc-so,1205.92578125,1205.92578125,16.31640625,987,5417.0
python3,143.37583705357142,232.35546875,15.79296875,53,294.0
server.py,171.75390625,235.75390625,19.56640625,3296,17959.0
systemd-journal,132.7136996116864,167.60546875,27.13671875,610,3380.0
