Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
dbus-daemon,42.86164314516129,43.33984375,36.609375,14,62.0
discern-file-so,1411.665763608871,1462.609375,252.890625,14,62.0
discern-logs-so,1205.4296875,1205.4296875,16.3046875,5,19.0
discern-network,1834.14453125,1863.1875,75.9765625,14,62.0
discern-proc-so,1205.92578125,1205.92578125,15.390625,5,26.0
python3,168.85546875,232.25390625,17.53515625,3,16.0
server.py,171.75390625,235.75390625,20.125,5,23.0
systemd-journal,71.38671875,71.38671875,23.79296875,10,44.0
