Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
discern-ansible,1205.34375,1205.34375,10.921875,5,20.0
discern-file-so,1456.0573167067307,1590.4921875,268.9140625,11,52.0
discern-jupyter,1205.33203125,1205.33203125,9.93359375,2,11.0
discern-logs-so,1205.4296875,1205.4296875,14.66796875,7,31.0
discern-network,1897.9609375,1897.9609375,104.45703125,11,48.0
discern-proc-so,1205.92578125,1205.92578125,16.328125,7,31.0
python3,85.197265625,232.60546875,16.94140625,8,42.0
server.py,171.75390625,235.75390625,20.296875,4,21.0
