IP_A,IP_B,TotalPackets,TotalBytes,TotalActiveSeconds,AvgRateMbps,PeakRateMbps
5.6.7.8,5.6.7.8,664,1529046,111,0.11020151351351351,0.24032
172.30.0.12,172.30.0.12,7613,942937,138,0.054663014492753625,0.179008
192.168.254.2,192.168.254.2,4510,361368,137,0.02110178102189781,0.141728
1.1.2.3,1.1.2.3,766,63688,119,0.004281546218487395,0.009488
172.30.0.1,172.30.0.1,135,13954,53,0.0021062641509433963,0.005344
199.68.201.235,199.68.201.235,2,182,1,0.001456,0.001456
fe80::105c:38ff:fecb:af95,fe80::105c:38ff:fecb:af95,2,142,1,0.001136,0.001136
fe80::1270:fdff:fe57:e2c,fe80::1270:fdff:fe57:e2c,2,142,2,0.000568,0.000576
fe80::2c23:45ff:fe62:fa2b,fe80::2c23:45ff:fe62:fa2b,2,142,1,0.001136,0.001136
fe80::7479:60ff:feb2:1af3,fe80::7479:60ff:feb2:1af3,2,142,1,0.001136,0.001136
fe80::d896:4ff:fe2a:5d1a,fe80::d896:4ff:fe2a:5d1a,2,142,1,0.001136,0.001136
fe80::cc65:31ff:fe9e:e6fe,fe80::cc65:31ff:fe9e:e6fe,1,70,1,0.00056,0.00056
fe80::cea:bbff:fe2f:ad4a,fe80::cea:bbff:fe2f:ad4a,1,70,1,0.00056,0.00056
fe80::e869:7fff:feb2:35bb,fe80::e869:7fff:feb2:35bb,1,70,1,0.00056,0.00056
