Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
discern-ansible,1205.34375,1205.34375,10.94921875,4,16.0
discern-file-so,1449.456063646789,1526.67578125,271.6171875,23,109.0
discern-logs-so,1205.4296875,1205.4296875,14.70703125,9,39.0
discern-network,1898.201189793578,1898.2109375,87.32421875,23,109.0
discern-proc-so,1205.92578125,1205.92578125,15.83203125,10,44.0
python3,132.16638360507247,232.35546875,17.11328125,26,138.0
server.py,174.2890625,238.2890625,25.1328125,13,65.0
systemd,177.11328125,239.93359375,10.171875,1,5.0
systemd-resolve,23.53515625,23.59765625,11.6875,6,28.0
