Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
apt,63.81591796875,155.27734375,67.6171875,3,16.0
apt-get,61.18058894230769,155.3671875,69.0078125,5,26.0
cc1,187.53515625,187.53515625,171.015625,1,5.0
containerd,1444.4155466688655,1450.140625,47.69140625,73,379.0
discern-ansible,1204.71875,1204.71875,12.16015625,2,8.0
discern-file-so,1649.77859375,1656.24609375,431.33203125,126,650.0
discern-logs-so,1205.9296875,1205.9296875,59.0,13,61.0
discern-network,2329.4914190573772,2361.96875,193.66015625,70,366.0
discern-proc-so,1206.2016433189656,1206.42578125,20.1171875,6,29.0
docker,1283.9322743344426,1381.69140625,53.75,115,601.0
dockerd,1554.5433901972624,1631.375,120.2421875,120,621.0
dpkg,21.40234375,21.5546875,17.8125,2,10.0
exe,1251.02978515625,1341.453125,88.9140625,3,16.0
pip,71.36049107142857,97.76953125,93.63671875,4,21.0
pip3,62.265625,67.53125,63.05859375,2,11.0
python3,3174.5340682077626,3501.49609375,1330.42578125,85,438.0
