Name,Duration,AvgCpuPercent,MaxCpuUsage,DataPoints
discern-file-so,1112.000,66.834,141.046,214
python3,419.000,149.718,177.452,81
discern-proc-so,1109.000,6.145,20.395,213
dockerd,758.000,4.360,6.752,145
exe,50.000,55.526,88.388,9
pip,26.000,78.239,87.819,5
discern-network,891.000,1.876,3.053,171
jbd2/vda2-8,638.000,1.985,2.491,123
dpkg,36.000,21.648,30.404,7
cc1,10.000,52.688,85.442,2
pip3,10.000,44.488,57.690,2
apt-get,36.000,12.336,30.908,7
systemd,329.000,0.991,1.745,64
dpkg-deb,10.000,24.340,40.620,2
kworker/1,32.000,5.976,16.317,6
store,5.000,33.527,33.527,1
mandb,10.000,8.742,9.513,2
python,5.000,17.336,17.336,1
apt,15.000,4.698,7.672,3
containerd,37.000,1.854,6.380,7
http,5.000,3.624,3.624,1
kworker/2,5.000,3.072,3.072,1
docker,6.000,1.785,1.785,1
OverallSystemRecord,6.000,12.132,68.707,2
