IP_A,IP_B,TotalPackets,TotalBytes,TotalActiveSeconds,AvgRateMbps,PeakRateMbps
172.30.0.11,172.30.0.11,257,75145,18,0.033397777777777776,0.140992
192.168.254.2,192.168.254.2,245,62640,19,0.026374736842105263,0.080336
172.30.0.1,172.30.0.1,36,4014,9,0.003568,0.007152
1.2.66.14,1.2.66.14,5,276,3,0.000736,0.00088
1.2.173.214,1.2.173.214,4,220,4,0.00044,0.000448
1.2.3.63,1.2.3.63,4,220,3,0.0005866666666666667,0.00088
1.2.66.248,1.2.66.248,4,220,3,0.0005866666666666667,0.00088
1.2.106.138,1.2.106.138,4,220,3,0.0005866666666666667,0.00088
1.2.65.106,1.2.65.106,4,220,3,0.0005866666666666667,0.00088
1.2.230.165,1.2.230.165,4,220,4,0.00044,0.000448
1.2.245.27,1.2.245.27,4,220,3,0.0005866666666666667,0.00088
1.2.143.117,1.2.143.117,4,220,3,0.0005866666666666667,0.00088
1.2.44.139,1.2.44.139,4,220,3,0.0005866666666666667,0.00088
1.2.143.138,1.2.143.138,4,220,4,0.00044,0.000448
1.2.150.21,1.2.150.21,4,220,4,0.00044,0.000448
1.2.173.170,1.2.173.170,4,220,3,0.0005866666666666667,0.00088
1.2.45.165,1.2.45.165,4,220,3,0.0005866666666666667,0.00088
1.2.1.168,1.2.1.168,4,220,3,0.0005866666666666667,0.00088
1.2.209.72,1.2.209.72,4,220,3,0.0005866666666666667,0.00088
1.2.98.229,1.2.98.229,4,220,4,0.00044,0.000448
1.2.235.98,1.2.235.98,4,220,4,0.00044,0.000448
1.2.254.50,1.2.254.50,4,220,2,0.00088,0.00088
1.2.237.102,1.2.237.102,4,220,3,0.0005866666666666667,0.00088
1.2.101.164,1.2.101.164,4,220,3,0.0005866666666666667,0.00088
1.2.152.82,1.2.152.82,4,220,4,0.00044,0.000448
1.2.9.200,1.2.9.200,4,220,3,0.0005866666666666667,0.00088
1.2.208.241,1.2.208.241,4,220,4,0.00044,0.000448
1.2.104.170,1.2.104.170,4,220,2,0.00088,0.00088
1.2.114.254,1.2.114.254,4,220,2,0.00088,0.00088
1.2.180.46,1.2.180.46,4,220,4,0.00044,0.000448
1.2.36.112,1.2.36.112,4,220,3,0.0005866666666666667,0.00088
1.2.217.226,1.2.217.226,3,166,3,0.0004426666666666667,0.000448
1.2.111.20,1.2.111.20,3,166,2,0.000664,0.00088
1.2.71.113,1.2.71.113,3,166,3,0.0004426666666666667,0.000448
1.2.44.247,1.2.44.247,3,166,3,0.0004426666666666667,0.000448
1.2.212.113,1.2.212.113,3,166,3,0.0004426666666666667,0.000448
1.2.180.133,1.2.180.133,3,166,3,0.0004426666666666667,0.000448
1.2.214.192,1.2.214.192,3,166,3,0.0004426666666666667,0.000448
1.2.199.94,1.2.199.94,3,166,3,0.0004426666666666667,0.000448
1.2.48.191,1.2.48.191,3,166,3,0.0004426666666666667,0.000448
1.2.120.132,1.2.120.132,3,166,2,0.000664,0.00088
1.2.77.17,1.2.77.17,3,166,3,0.0004426666666666667,0.000448
1.2.20.56,1.2.20.56,3,166,2,0.000664,0.00088
1.2.210.39,1.2.210.39,3,166,3,0.0004426666666666667,0.000448
1.2.119.119,1.2.119.119,3,166,2,0.000664,0.00088
1.2.200.24,1.2.200.24,3,166,3,0.0004426666666666667,0.000448
1.2.206.40,1.2.206.40,3,166,3,0.0004426666666666667,0.000448
1.2.201.231,1.2.201.231,3,166,2,0.000664,0.00088
1.2.76.93,1.2.76.93,3,166,3,0.0004426666666666667,0.000448
1.2.8.23,1.2.8.23,3,166,2,0.000664,0.00088
1.2.173.92,1.2.173.92,3,166,3,0.0004426666666666667,0.000448
