Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
apt,64.60546875,155.27734375,67.4296875,3,16.0
apt-get,62.13921875,155.3671875,69.07421875,5,25.0
cc1,128.4296875,128.4296875,112.078125,1,6.0
containerd,1377.8832379331684,1377.88671875,47.2421875,78,404.0
discern-ansible,1204.71875,1204.71875,12.28515625,1,5.0
discern-file-so,1709.222650249616,1720.3125,429.640625,125,651.0
discern-logs-so,1205.6796875,1205.6796875,15.7265625,1,5.0
discern-network,2330.4117857803253,2362.15625,174.55078125,67,338.0
discern-proc-so,1206.2346047794117,1206.42578125,20.2890625,6,34.0
docker,1299.4140625,1317.94140625,57.22265625,116,610.0
dockerd,1562.193302487864,1567.25,117.40234375,120,618.0
dpkg,21.388392857142858,21.4296875,17.75,2,7.0
exe,1277.804976851852,1341.453125,89.79296875,5,27.0
pip,76.18954613095238,98.29296875,93.78515625,4,21.0
pip3,60.0048828125,67.53125,62.90625,3,16.0
python3,3171.5432068284426,3439.30078125,1295.9765625,85,443.0
python3.9,24.375,25.98828125,19.171875,1,8.0
systemd-journal,55.38671875,55.38671875,20.234375,2,5.0
